horizon_minutes,x_error_AE,y_error_AE,z_error_AE,satclockerror_AE,x_error_cumulative_MAE,y_error_cumulative_MAE,z_error_cumulative_MAE,satclockerror_cumulative_MAE
825,7.2409425,0.27028775,4.166217,3.7363806,2.887734098326076,2.390594480254433,2.44318421699784,2.1232344356450166
840,1.9542481,3.1166894,3.0125952,1.5304606,2.8710647049759115,2.4035604617425372,2.453352269849607,2.112649188510009
855,0.72568595,0.74137425,0.22997153,1.4036127,2.8334264812762275,2.3743993002071715,2.4143455901689697,2.1002099524464524
870,2.5170782,3.6145864,4.672068,1.0524685,2.827972199896286,2.395781835605358,2.4532718406669023,2.0821454453057258
885,1.187295,2.237879,3.307827,0.48975545,2.8001641110848574,2.3931055169994546,2.467755826347965,2.055155784396802
900,1.9457127,0.95555764,0.93659437,0.7006384,2.7859232539931935,2.3691463857889175,2.4422364686926206,2.0325804948806763
915,0.15305105,2.479871,4.9651856,3.6026173,2.742761414559161,2.370961543966512,2.483596291209831,2.058318802567779
930,0.4820728,0.657917,0.81306624,0.094591066,2.7062986949759145,2.343331793623586,2.456652258192339,2.0266457745625126
945,3.7531698,0.23800361,6.0165696,3.1963234,2.7229156962462833,2.3099138859718567,2.513158882894213,2.045212085994463
960,1.1773388,2.0313594,1.2996666,0.5830623,2.698766057845205,2.3055614726617932,2.494198066648096,2.0223659954499453
975,1.3412962,1.7994978,0.32878128,1.1315403,2.6778819061242616,2.2977758783560533,2.460883962191068,2.0086609847270527
990,2.280241,0.8845398,1.6521729,1.5725862,2.6718570441007614,2.2763632102446123,2.4486307646289016,2.0020537906975457
1005,0.83623016,0.6304571,1.0665456,1.4029176,2.64445962790233,2.2517974474536837,2.4280026279278655,1.993111459844148
1020,6.0747623,4.4476647,3.078787,2.339556,2.694905256085536,2.2840896134867386,2.437572987640605,1.9982062321813667
1035,1.4089088,1.3737742,5.995756,1.8659494,2.6762676269247914,2.270896636057591,2.489140859548596,1.996289466386256
1050,3.0383828,2.6056342,2.8390322,3.148058,2.681440700377737,2.275678601435253,2.4941393068858555,2.012743301689625
1065,1.4955236,3.0056982,3.689587,6.9302607,2.6647376422311218,2.2859605676691297,2.510976599975371,2.082004109528703
1080,5.575427,2.2550519,4.3720636,5.335608,2.7051638840801187,2.2855312799414,2.536825031042099,2.127193052528633
1095,1.714129,0.92600477,5.01546,3.459273,2.6915880633543616,2.2669076290849137,2.5707789349229366,2.145440724410423
1110,6.773538,1.1318147,5.4771457,0.96501184,2.7467495505068755,2.251568535695205,2.6100541610975525,2.1294889826629615
1125,4.161475,2.6913452,1.925817,3.278394,2.765612558921178,2.2574322247505187,2.6009309991200764,2.144807716012001
1140,5.0754976,1.7246478,3.2006824,7.7611523,2.7960057835045613,2.2504219028510546,2.608822464942932,2.2187069864257385
1155,1.1525552,6.7413054,9.115751,1.3032432,2.774662269787355,2.3087450645186682,2.693328033794056,2.2068178458260252
1170,0.76735777,1.1138407,3.9864347,2.6128526,2.7489275966699305,2.2934257777837606,2.7099063243621435,2.212023419256394
1185,1.7507869,1.1145831,1.8843234,2.8265357,2.7362929043136064,2.2785037190099304,2.699455907073202,2.2198020557436764
1200,1.4485068,1.1296237,3.2652936,2.352997,2.7201955784112215,2.264142718166113,2.706528878211975,2.221466993354261
